Date Key,Calender Date Start,Calender Date End,Weekday Number,Day,Day Abbreviated,Day Of Month,Is Weekend,Is Weekday,Month Of Year,Month,Month Abbreviated,Year
34,03/02/1993 00:00,03/02/1993 23:59,3,Wednesday,Wed,3,0,1,2,February,Feb,1993
35,04/02/1993 00:00,04/02/1993 23:59,4,Thursday,Thu,4,0,1,2,February,Feb,1993
36,05/02/1993 00:00,05/02/1993 23:59,5,Friday,Fri,5,0,1,2,February,Feb,1993
37,06/02/1993 00:00,06/02/1993 23:59,6,Saturday,Sat,6,1,0,2,February,Feb,1993
38,07/02/1993 00:00,07/02/1993 23:59,0,Sunday,Sun,7,1,0,2,February,Feb,1993
39,08/02/1993 00:00,08/02/1993 23:59,1,Monday,Mon,8,0,1,2,February,Feb,1993
40,09/02/1993 00:00,09/02/1993 23:59,2,Tuesday,Tue,9,0,1,2,February,Feb,1993
41,10/02/1993 00:00,10/02/1993 23:59,3,Wednesday,Wed,10,0,1,2,February,Feb,1993
42,11/02/1993 00:00,11/02/1993 23:59,4,Thursday,Thu,11,0,1,2,February,Feb,1993
43,12/02/1993 00:00,12/02/1993 23:59,5,Friday,Fri,12,0,1,2,February,Feb,1993
44,13/02/1993 00:00,13/02/1993 23:59,6,Saturday,Sat,13,1,0,2,February,Feb,1993
45,14/02/1993 00:00,14/02/1993 23:59,0,Sunday,Sun,14,1,0,2,February,Feb,1993
46,15/02/1993 00:00,15/02/1993 23:59,1,Monday,Mon,15,0,1,2,February,Feb,1993
47,16/02/1993 00:00,16/02/1993 23:59,2,Tuesday,Tue,16,0,1,2,February,Feb,1993
48,17/02/1993 00:00,17/02/1993 23:59,3,Wednesday,Wed,17,0,1,2,February,Feb,1993
49,18/02/1993 00:00,18/02/1993 23:59,4,Thursday,Thu,18,0,1,2,February,Feb,1993
50,19/02/1993 00:00,19/02/1993 23:59,5,Friday,Fri,19,0,1,2,February,Feb,1993
51,20/02/1993 00:00,20/02/1993 23:59,6,Saturday,Sat,20,1,0,2,February,Feb,1993
52,21/02/1993 00:00,21/02/1993 23:59,0,Sunday,Sun,21,1,0,2,February,Feb,1993
53,22/02/1993 00:00,22/02/1993 23:59,1,Monday,Mon,22,0,1,2,February,Feb,1993
54,23/02/1993 00:00,23/02/1993 23:59,2,Tuesday,Tue,23,0,1,2,February,Feb,1993
55,24/02/1993 00:00,24/02/1993 23:59,3,Wednesday,Wed,24,0,1,2,February,Feb,1993
56,25/02/1993 00:00,25/02/1993 23:59,4,Thursday,Thu,25,0,1,2,February,Feb,1993
57,26/02/1993 00:00,26/02/1993 23:59,5,Friday,Fri,26,0,1,2,February,Feb,1993
58,27/02/1993 00:00,27/02/1993 23:59,6,Saturday,Sat,27,1,0,2,February,Feb,1993
59,28/02/1993 00:00,28/02/1993 23:59,0,Sunday,Sun,28,1,0,2,February,Feb,1993
60,01/03/1993 00:00,01/03/1993 23:59,1,Monday,Mon,1,0,1,3,March,Mar,1993
61,02/03/1993 00:00,02/03/1993 23:59,2,Tuesday,Tue,2,0,1,3,March,Mar,1993
62,03/03/1993 00:00,03/03/1993 23:59,3,Wednesday,Wed,3,0,1,3,March,Mar,1993
63,04/03/1993 00:00,04/03/1993 23:59,4,Thursday,Thu,4,0,1,3,March,Mar,1993
64,05/03/1993 00:00,05/03/1993 23:59,5,Friday,Fri,5,0,1,3,March,Mar,1993
65,06/03/1993 00:00,06/03/1993 23:59,6,Saturday,Sat,6,1,0,3,March,Mar,1993
66,07/03/1993 00:00,07/03/1993 23:59,0,Sunday,Sun,7,1,0,3,March,Mar,1993
67,08/03/1993 00:00,08/03/1993 23:59,1,Monday,Mon,8,0,1,3,March,Mar,1993
68,09/03/1993 00:00,09/03/1993 23:59,2,Tuesday,Tue,9,0,1,3,March,Mar,1993
69,10/03/1993 00:00,10/03/1993 23:59,3,Wednesday,Wed,10,0,1,3,March,Mar,1993
70,11/03/1993 00:00,11/03/1993 23:59,4,Thursday,Thu,11,0,1,3,March,Mar,1993
71,12/03/1993 00:00,12/03/1993 23:59,5,Friday,Fri,12,0,1,3,March,Mar,1993
72,13/03/1993 00:00,13/03/1993 23:59,6,Saturday,Sat,13,1,0,3,March,Mar,1993
73,14/03/1993 00:00,14/03/1993 23:59,0,Sunday,Sun,14,1,0,3,March,Mar,1993
74,15/03/1993 00:00,15/03/1993 23:59,1,Monday,Mon,15,0,1,3,March,Mar,1993
75,16/03/1993 00:00,16/03/1993 23:59,2,Tuesday,Tue,16,0,1,3,March,Mar,1993
76,17/03/1993 00:00,17/03/1993 23:59,3,Wednesday,Wed,17,0,1,3,March,Mar,1993
77,18/03/1993 00:00,18/03/1993 23:59,4,Thursday,Thu,18,0,1,3,March,Mar,1993
78,19/03/1993 00:00,19/03/1993 23:59,5,Friday,Fri,19,0,1,3,March,Mar,1993
79,20/03/1993 00:00,20/03/1993 23:59,6,Saturday,Sat,20,1,0,3,March,Mar,1993
80,21/03/1993 00:00,21/03/1993 23:59,0,Sunday,Sun,21,1,0,3,March,Mar,1993
81,22/03/1993 00:00,22/03/1993 23:59,1,Monday,Mon,22,0,1,3,March,Mar,1993
82,23/03/1993 00:00,23/03/1993 23:59,2,Tuesday,Tue,23,0,1,3,March,Mar,1993
83,24/03/1993 00:00,24/03/1993 23:59,3,Wednesday,Wed,24,0,1,3,March,Mar,1993
84,25/03/1993 00:00,25/03/1993 23:59,4,Thursday,Thu,25,0,1,3,March,Mar,1993
85,26/03/1993 00:00,26/03/1993 23:59,5,Friday,Fri,26,0,1,3,March,Mar,1993
86,27/03/1993 00:00,27/03/1993 23:59,6,Saturday,Sat,27,1,0,3,March,Mar,1993
87,28/03/1993 00:00,28/03/1993 23:59,0,Sunday,Sun,28,1,0,3,March,Mar,1993
88,29/03/1993 00:00,29/03/1993 23:59,1,Monday,Mon,29,0,1,3,March,Mar,1993
89,30/03/1993 00:00,30/03/1993 23:59,2,Tuesday,Tue,30,0,1,3,March,Mar,1993
90,31/03/1993 00:00,31/03/1993 23:59,3,Wednesday,Wed,31,0,1,3,March,Mar,1993
91,01/04/1993 00:00,01/04/1993 23:59,4,Thursday,Thu,1,0,1,4,April,Apr,1993
92,02/04/1993 00:00,02/04/1993 23:59,5,Friday,Fri,2,0,1,4,April,Apr,1993
93,03/04/1993 00:00,03/04/1993 23:59,6,Saturday,Sat,3,1,0,4,April,Apr,1993
94,04/04/1993 00:00,04/04/1993 23:59,0,Sunday,Sun,4,1,0,4,April,Apr,1993
95,05/04/1993 00:00,05/04/1993 23:59,1,Monday,Mon,5,0,1,4,April,Apr,1993
96,06/04/1993 00:00,06/04/1993 23:59,2,Tuesday,Tue,6,0,1,4,April,Apr,1993
97,07/04/1993 00:00,07/04/1993 23:59,3,Wednesday,Wed,7,0,1,4,April,Apr,1993
98,08/04/1993 00:00,08/04/1993 23:59,4,Thursday,Thu,8,0,1,4,April,Apr,1993
99,09/04/1993 00:00,09/04/1993 23:59,5,Friday,Fri,9,0,1,4,April,Apr,1993
100,10/04/1993 00:00,10/04/1993 23:59,6,Saturday,Sat,10,1,0,4,April,Apr,1993
101,11/04/1993 00:00,11/04/1993 23:59,0,Sunday,Sun,11,1,0,4,April,Apr,1993
102,12/04/1993 00:00,12/04/1993 23:59,1,Monday,Mon,12,0,1,4,April,Apr,1993
103,13/04/1993 00:00,13/04/1993 23:59,2,Tuesday,Tue,13,0,1,4,April,Apr,1993
104,14/04/1993 00:00,14/04/1993 23:59,3,Wednesday,Wed,14,0,1,4,April,Apr,1993
105,15/04/1993 00:00,15/04/1993 23:59,4,Thursday,Thu,15,0,1,4,April,Apr,1993
106,16/04/1993 00:00,16/04/1993 23:59,5,Friday,Fri,16,0,1,4,April,Apr,1993
107,17/04/1993 00:00,17/04/1993 23:59,6,Saturday,Sat,17,1,0,4,April,Apr,1993
108,18/04/1993 00:00,18/04/1993 23:59,0,Sunday,Sun,18,1,0,4,April,Apr,1993
109,19/04/1993 00:00,19/04/1993 23:59,1,Monday,Mon,19,0,1,4,April,Apr,1993
110,20/04/1993 00:00,20/04/1993 23:59,2,Tuesday,Tue,20,0,1,4,April,Apr,1993
111,21/04/1993 00:00,21/04/1993 23:59,3,Wednesday,Wed,21,0,1,4,April,Apr,1993
112,22/04/1993 00:00,22/04/1993 23:59,4,Thursday,Thu,22,0,1,4,April,Apr,1993
113,23/04/1993 00:00,23/04/1993 23:59,5,Friday,Fri,23,0,1,4,April,Apr,1993
114,24/04/1993 00:00,24/04/1993 23:59,6,Saturday,Sat,24,1,0,4,April,Apr,1993
115,25/04/1993 00:00,25/04/1993 23:59,0,Sunday,Sun,25,1,0,4,April,Apr,1993
116,26/04/1993 00:00,26/04/1993 23:59,1,Monday,Mon,26,0,1,4,April,Apr,1993
117,27/04/1993 00:00,27/04/1993 23:59,2,Tuesday,Tue,27,0,1,4,April,Apr,1993
118,28/04/1993 00:00,28/04/1993 23:59,3,Wednesday,Wed,28,0,1,4,April,Apr,1993
119,29/04/1993 00:00,29/04/1993 23:59,4,Thursday,Thu,29,0,1,4,April,Apr,1993
120,30/04/1993 00:00,30/04/1993 23:59,5,Friday,Fri,30,0,1,4,April,Apr,1993
121,01/05/1993 00:00,01/05/1993 23:59,6,Saturday,Sat,1,1,0,5,May,May,1993
122,02/05/1993 00:00,02/05/1993 23:59,0,Sunday,Sun,2,1,0,5,May,May,1993
123,03/05/1993 00:00,03/05/1993 23:59,1,Monday,Mon,3,0,1,5,May,May,1993
124,04/05/1993 00:00,04/05/1993 23:59,2,Tuesday,Tue,4,0,1,5,May,May,1993
125,05/05/1993 00:00,05/05/1993 23:59,3,Wednesday,Wed,5,0,1,5,May,May,1993
126,06/05/1993 00:00,06/05/1993 23:59,4,Thursday,Thu,6,0,1,5,May,May,1993
127,07/05/1993 00:00,07/05/1993 23:59,5,Friday,Fri,7,0,1,5,May,May,1993
128,08/05/1993 00:00,08/05/1993 23:59,6,Saturday,Sat,8,1,0,5,May,May,1993
129,09/05/1993 00:00,09/05/1993 23:59,0,Sunday,Sun,9,1,0,5,May,May,1993
130,10/05/1993 00:00,10/05/1993 23:59,1,Monday,Mon,10,0,1,5,May,May,1993
131,11/05/1993 00:00,11/05/1993 23:59,2,Tuesday,Tue,11,0,1,5,May,May,1993
132,12/05/1993 00:00,12/05/1993 23:59,3,Wednesday,Wed,12,0,1,5,May,May,1993
133,13/05/1993 00:00,13/05/1993 23:59,4,Thursday,Thu,13,0,1,5,May,May,1993
134,14/05/1993 00:00,14/05/1993 23:59,5,Friday,Fri,14,0,1,5,May,May,1993
135,15/05/1993 00:00,15/05/1993 23:59,6,Saturday,Sat,15,1,0,5,May,May,1993
136,16/05/1993 00:00,16/05/1993 23:59,0,Sunday,Sun,16,1,0,5,May,May,1993
137,17/05/1993 00:00,17/05/1993 23:59,1,Monday,Mon,17,0,1,5,May,May,1993
138,18/05/1993 00:00,18/05/1993 23:59,2,Tuesday,Tue,18,0,1,5,May,May,1993
139,19/05/1993 00:00,19/05/1993 23:59,3,Wednesday,Wed,19,0,1,5,May,May,1993
140,20/05/1993 00:00,20/05/1993 23:59,4,Thursday,Thu,20,0,1,5,May,May,1993
141,21/05/1993 00:00,21/05/1993 23:59,5,Friday,Fri,21,0,1,5,May,May,1993
142,22/05/1993 00:00,22/05/1993 23:59,6,Saturday,Sat,22,1,0,5,May,May,1993
143,23/05/1993 00:00,23/05/1993 23:59,0,Sunday,Sun,23,1,0,5,May,May,1993
144,24/05/1993 00:00,24/05/1993 23:59,1,Monday,Mon,24,0,1,5,May,May,1993
145,25/05/1993 00:00,25/05/1993 23:59,2,Tuesday,Tue,25,0,1,5,May,May,1993
146,26/05/1993 00:00,26/05/1993 23:59,3,Wednesday,Wed,26,0,1,5,May,May,1993
147,27/05/1993 00:00,27/05/1993 23:59,4,Thursday,Thu,27,0,1,5,May,May,1993
148,28/05/1993 00:00,28/05/1993 23:59,5,Friday,Fri,28,0,1,5,May,May,1993
149,29/05/1993 00:00,29/05/1993 23:59,6,Saturday,Sat,29,1,0,5,May,May,1993
150,30/05/1993 00:00,30/05/1993 23:59,0,Sunday,Sun,30,1,0,5,May,May,1993
151,31/05/1993 00:00,31/05/1993 23:59,1,Monday,Mon,31,0,1,5,May,May,1993
152,01/06/1993 00:00,01/06/1993 23:59,2,Tuesday,Tue,1,0,1,6,June,Jun,1993
153,02/06/1993 00:00,02/06/1993 23:59,3,Wednesday,Wed,2,0,1,6,June,Jun,1993
154,03/06/1993 00:00,03/06/1993 23:59,4,Thursday,Thu,3,0,1,6,June,Jun,1993
155,04/06/1993 00:00,04/06/1993 23:59,5,Friday,Fri,4,0,1,6,June,Jun,1993
156,05/06/1993 00:00,05/06/1993 23:59,6,Saturday,Sat,5,1,0,6,June,Jun,1993
157,06/06/1993 00:00,06/06/1993 23:59,0,Sunday,Sun,6,1,0,6,June,Jun,1993
158,07/06/1993 00:00,07/06/1993 23:59,1,Monday,Mon,7,0,1,6,June,Jun,1993
159,08/06/1993 00:00,08/06/1993 23:59,2,Tuesday,Tue,8,0,1,6,June,Jun,1993
160,09/06/1993 00:00,09/06/1993 23:59,3,Wednesday,Wed,9,0,1,6,June,Jun,1993
161,10/06/1993 00:00,10/06/1993 23:59,4,Thursday,Thu,10,0,1,6,June,Jun,1993
162,11/06/1993 00:00,11/06/1993 23:59,5,Friday,Fri,11,0,1,6,June,Jun,1993
163,12/06/1993 00:00,12/06/1993 23:59,6,Saturday,Sat,12,1,0,6,June,Jun,1993
164,13/06/1993 00:00,13/06/1993 23:59,0,Sunday,Sun,13,1,0,6,June,Jun,1993
165,14/06/1993 00:00,14/06/1993 23:59,1,Monday,Mon,14,0,1,6,June,Jun,1993
166,15/06/1993 00:00,15/06/1993 23:59,2,Tuesday,Tue,15,0,1,6,June,Jun,1993
167,16/06/1993 00:00,16/06/1993 23:59,3,Wednesday,Wed,16,0,1,6,June,Jun,1993
168,17/06/1993 00:00,17/06/1993 23:59,4,Thursday,Thu,17,0,1,6,June,Jun,1993
169,18/06/1993 00:00,18/06/1993 23:59,5,Friday,Fri,18,0,1,6,June,Jun,1993
170,19/06/1993 00:00,19/06/1993 23:59,6,Saturday,Sat,19,1,0,6,June,Jun,1993
171,20/06/1993 00:00,20/06/1993 23:59,0,Sunday,Sun,20,1,0,6,June,Jun,1993
172,21/06/1993 00:00,21/06/1993 23:59,1,Monday,Mon,21,0,1,6,June,Jun,1993
173,22/06/1993 00:00,22/06/1993 23:59,2,Tuesday,Tue,22,0,1,6,June,Jun,1993
174,23/06/1993 00:00,23/06/1993 23:59,3,Wednesday,Wed,23,0,1,6,June,Jun,1993
175,24/06/1993 00:00,24/06/1993 23:59,4,Thursday,Thu,24,0,1,6,June,Jun,1993
176,25/06/1993 00:00,25/06/1993 23:59,5,Friday,Fri,25,0,1,6,June,Jun,1993
177,26/06/1993 00:00,26/06/1993 23:59,6,Saturday,Sat,26,1,0,6,June,Jun,1993
178,27/06/1993 00:00,27/06/1993 23:59,0,Sunday,Sun,27,1,0,6,June,Jun,1993
179,28/06/1993 00:00,28/06/1993 23:59,1,Monday,Mon,28,0,1,6,June,Jun,1993
180,29/06/1993 00:00,29/06/1993 23:59,2,Tuesday,Tue,29,0,1,6,June,Jun,1993
181,30/06/1993 00:00,30/06/1993 23:59,3,Wednesday,Wed,30,0,1,6,June,Jun,1993
182,01/07/1993 00:00,01/07/1993 23:59,4,Thursday,Thu,1,0,1,7,July,Jul,1993
183,02/07/1993 00:00,02/07/1993 23:59,5,Friday,Fri,2,0,1,7,July,Jul,1993
184,03/07/1993 00:00,03/07/1993 23:59,6,Saturday,Sat,3,1,0,7,July,Jul,1993
185,04/07/1993 00:00,04/07/1993 23:59,0,Sunday,Sun,4,1,0,7,July,Jul,1993
186,05/07/1993 00:00,05/07/1993 23:59,1,Monday,Mon,5,0,1,7,July,Jul,1993
187,06/07/1993 00:00,06/07/1993 23:59,2,Tuesday,Tue,6,0,1,7,July,Jul,1993
188,07/07/1993 00:00,07/07/1993 23:59,3,Wednesday,Wed,7,0,1,7,July,Jul,1993
189,08/07/1993 00:00,08/07/1993 23:59,4,Thursday,Thu,8,0,1,7,July,Jul,1993
190,09/07/1993 00:00,09/07/1993 23:59,5,Friday,Fri,9,0,1,7,July,Jul,1993
191,10/07/1993 00:00,10/07/1993 23:59,6,Saturday,Sat,10,1,0,7,July,Jul,1993
192,11/07/1993 00:00,11/07/1993 23:59,0,Sunday,Sun,11,1,0,7,July,Jul,1993
193,12/07/1993 00:00,12/07/1993 23:59,1,Monday,Mon,12,0,1,7,July,Jul,1993
194,13/07/1993 00:00,13/07/1993 23:59,2,Tuesday,Tue,13,0,1,7,July,Jul,1993
195,14/07/1993 00:00,14/07/1993 23:59,3,Wednesday,Wed,14,0,1,7,July,Jul,1993
196,15/07/1993 00:00,15/07/1993 23:59,4,Thursday,Thu,15,0,1,7,July,Jul,1993
197,16/07/1993 00:00,16/07/1993 23:59,5,Friday,Fri,16,0,1,7,July,Jul,1993
198,17/07/1993 00:00,17/07/1993 23:59,6,Saturday,Sat,17,1,0,7,July,Jul,1993
199,18/07/1993 00:00,18/07/1993 23:59,0,Sunday,Sun,18,1,0,7,July,Jul,1993
200,19/07/1993 00:00,19/07/1993 23:59,1,Monday,Mon,19,0,1,7,July,Jul,1993
201,20/07/1993 00:00,20/07/1993 23:59,2,Tuesday,Tue,20,0,1,7,July,Jul,1993
202,21/07/1993 00:00,21/07/1993 23:59,3,Wednesday,Wed,21,0,1,7,July,Jul,1993
203,22/07/1993 00:00,22/07/1993 23:59,4,Thursday,Thu,22,0,1,7,July,Jul,1993
204,23/07/1993 00:00,23/07/1993 23:59,5,Friday,Fri,23,0,1,7,July,Jul,1993
205,24/07/1993 00:00,24/07/1993 23:59,6,Saturday,Sat,24,1,0,7,July,Jul,1993
206,25/07/1993 00:00,25/07/1993 23:59,0,Sunday,Sun,25,1,0,7,July,Jul,1993
207,26/07/1993 00:00,26/07/1993 23:59,1,Monday,Mon,26,0,1,7,July,Jul,1993
208,27/07/1993 00:00,27/07/1993 23:59,2,Tuesday,Tue,27,0,1,7,July,Jul,1993
209,28/07/1993 00:00,28/07/1993 23:59,3,Wednesday,Wed,28,0,1,7,July,Jul,1993
210,29/07/1993 00:00,29/07/1993 23:59,4,Thursday,Thu,29,0,1,7,July,Jul,1993
211,30/07/1993 00:00,30/07/1993 23:59,5,Friday,Fri,30,0,1,7,July,Jul,1993
212,31/07/1993 00:00,31/07/1993 23:59,6,Saturday,Sat,31,1,0,7,July,Jul,1993
213,01/08/1993 00:00,01/08/1993 23:59,0,Sunday,Sun,1,1,0,8,August,Aug,1993
214,02/08/1993 00:00,02/08/1993 23:59,1,Monday,Mon,2,0,1,8,August,Aug,1993
215,03/08/1993 00:00,03/08/1993 23:59,2,Tuesday,Tue,3,0,1,8,August,Aug,1993
216,04/08/1993 00:00,04/08/1993 23:59,3,Wednesday,Wed,4,0,1,8,August,Aug,1993
217,05/08/1993 00:00,05/08/1993 23:59,4,Thursday,Thu,5,0,1,8,August,Aug,1993
218,06/08/1993 00:00,06/08/1993 23:59,5,Friday,Fri,6,0,1,8,August,Aug,1993
219,07/08/1993 00:00,07/08/1993 23:59,6,Saturday,Sat,7,1,0,8,August,Aug,1993
220,08/08/1993 00:00,08/08/1993 23:59,0,Sunday,Sun,8,1,0,8,August,Aug,1993
221,09/08/1993 00:00,09/08/1993 23:59,1,Monday,Mon,9,0,1,8,August,Aug,1993
222,10/08/1993 00:00,10/08/1993 23:59,2,Tuesday,Tue,10,0,1,8,August,Aug,1993
223,11/08/1993 00:00,11/08/1993 23:59,3,Wednesday,Wed,11,0,1,8,August,Aug,1993
224,12/08/1993 00:00,12/08/1993 23:59,4,Thursday,Thu,12,0,1,8,August,Aug,1993
225,13/08/1993 00:00,13/08/1993 23:59,5,Friday,Fri,13,0,1,8,August,Aug,1993
226,14/08/1993 00:00,14/08/1993 23:59,6,Saturday,Sat,14,1,0,8,August,Aug,1993
227,15/08/1993 00:00,15/08/1993 23:59,0,Sunday,Sun,15,1,0,8,August,Aug,1993
228,16/08/1993 00:00,16/08/1993 23:59,1,Monday,Mon,16,0,1,8,August,Aug,1993
229,17/08/1993 00:00,17/08/1993 23:59,2,Tuesday,Tue,17,0,1,8,August,Aug,1993
230,18/08/1993 00:00,18/08/1993 23:59,3,Wednesday,Wed,18,0,1,8,August,Aug,1993
231,19/08/1993 00:00,19/08/1993 23:59,4,Thursday,Thu,19,0,1,8,August,Aug,1993
232,20/08/1993 00:00,20/08/1993 23:59,5,Friday,Fri,20,0,1,8,August,Aug,1993
233,21/08/1993 00:00,21/08/1993 23:59,6,Saturday,Sat,21,1,0,8,August,Aug,1993
234,22/08/1993 00:00,22/08/1993 23:59,0,Sunday,Sun,22,1,0,8,August,Aug,1993
235,23/08/1993 00:00,23/08/1993 23:59,1,Monday,Mon,23,0,1,8,August,Aug,1993
236,24/08/1993 00:00,24/08/1993 23:59,2,Tuesday,Tue,24,0,1,8,August,Aug,1993
237,25/08/1993 00:00,25/08/1993 23:59,3,Wednesday,Wed,25,0,1,8,August,Aug,1993
238,26/08/1993 00:00,26/08/1993 23:59,4,Thursday,Thu,26,0,1,8,August,Aug,1993
239,27/08/1993 00:00,27/08/1993 23:59,5,Friday,Fri,27,0,1,8,August,Aug,1993
240,28/08/1993 00:00,28/08/1993 23:59,6,Saturday,Sat,28,1,0,8,August,Aug,1993
241,29/08/1993 00:00,29/08/1993 23:59,0,Sunday,Sun,29,1,0,8,August,Aug,1993
242,30/08/1993 00:00,30/08/1993 23:59,1,Monday,Mon,30,0,1,8,August,Aug,1993
243,31/08/1993 00:00,31/08/1993 23:59,2,Tuesday,Tue,31,0,1,8,August,Aug,1993
244,01/09/1993 00:00,01/09/1993 23:59,3,Wednesday,Wed,1,0,1,9,September,Sep,1993
245,02/09/1993 00:00,02/09/1993 23:59,4,Thursday,Thu,2,0,1,9,September,Sep,1993
246,03/09/1993 00:00,03/09/1993 23:59,5,Friday,Fri,3,0,1,9,September,Sep,1993
247,04/09/1993 00:00,04/09/1993 23:59,6,Saturday,Sat,4,1,0,9,September,Sep,1993
248,05/09/1993 00:00,05/09/1993 23:59,0,Sunday,Sun,5,1,0,9,September,Sep,1993
249,06/09/1993 00:00,06/09/1993 23:59,1,Monday,Mon,6,0,1,9,September,Sep,1993
250,07/09/1993 00:00,07/09/1993 23:59,2,Tuesday,Tue,7,0,1,9,September,Sep,1993
251,08/09/1993 00:00,08/09/1993 23:59,3,Wednesday,Wed,8,0,1,9,September,Sep,1993
252,09/09/1993 00:00,09/09/1993 23:59,4,Thursday,Thu,9,0,1,9,September,Sep,1993
253,10/09/1993 00:00,10/09/1993 23:59,5,Friday,Fri,10,0,1,9,September,Sep,1993
254,11/09/1993 00:00,11/09/1993 23:59,6,Saturday,Sat,11,1,0,9,September,Sep,1993
255,12/09/1993 00:00,12/09/1993 23:59,0,Sunday,Sun,12,1,0,9,September,Sep,1993
256,13/09/1993 00:00,13/09/1993 23:59,1,Monday,Mon,13,0,1,9,September,Sep,1993
257,14/09/1993 00:00,14/09/1993 23:59,2,Tuesday,Tue,14,0,1,9,September,Sep,1993
258,15/09/1993 00:00,15/09/1993 23:59,3,Wednesday,Wed,15,0,1,9,September,Sep,1993
259,16/09/1993 00:00,16/09/1993 23:59,4,Thursday,Thu,16,0,1,9,September,Sep,1993
260,17/09/1993 00:00,17/09/1993 23:59,5,Friday,Fri,17,0,1,9,September,Sep,1993
261,18/09/1993 00:00,18/09/1993 23:59,6,Saturday,Sat,18,1,0,9,September,Sep,1993
262,19/09/1993 00:00,19/09/1993 23:59,0,Sunday,Sun,19,1,0,9,September,Sep,1993
263,20/09/1993 00:00,20/09/1993 23:59,1,Monday,Mon,20,0,1,9,September,Sep,1993
264,21/09/1993 00:00,21/09/1993 23:59,2,Tuesday,Tue,21,0,1,9,September,Sep,1993
265,22/09/1993 00:00,22/09/1993 23:59,3,Wednesday,Wed,22,0,1,9,September,Sep,1993
266,23/09/1993 00:00,23/09/1993 23:59,4,Thursday,Thu,23,0,1,9,September,Sep,1993
267,24/09/1993 00:00,24/09/1993 23:59,5,Friday,Fri,24,0,1,9,September,Sep,1993
